lon lat dep Vp Vs
97.800 24.600 0.000 4.800 2.838
97.800 24.800 0.000 4.831 2.855
97.800 25.000 0.000 4.861 2.864
98.000 24.400 0.000 4.884 2.854
98.000 24.600 0.000 4.790 2.845
98.000 24.800 0.000 4.795 2.852
98.000 25.000 0.000 4.770 2.852
98.000 25.200 0.000 4.779 2.857
98.000 25.400 0.000 4.962 2.898
98.000 25.600 0.000 5.006 2.913
98.000 25.800 0.000 5.019 2.930
98.000 26.000 0.000 4.986 2.934
98.000 26.200 0.000 5.026 2.952
98.000 26.400 0.000 5.053 2.965
98.000 26.600 0.000 5.127 2.990
98.000 26.800 0.000 5.218 3.014
98.200 24.200 0.000 4.854 2.856
98.200 24.400 0.000 4.883 2.878
98.200 24.600 0.000 4.808 2.872
98.200 24.800 0.000 4.866 2.892
98.200 25.000 0.000 4.780 2.871
98.200 25.200 0.000 4.795 2.864
98.200 25.400 0.000 4.928 2.892
98.200 25.600 0.000 4.924 2.898
98.200 25.800 0.000 5.046 2.946
98.200 26.000 0.000 5.101 2.971
98.200 26.200 0.000 5.147 2.982
98.200 26.400 0.000 5.118 2.972
98.200 26.600 0.000 5.193 2.996
98.200 26.800 0.000 5.215 3.004
98.200 27.000 0.000 5.330 3.040
98.200 27.200 0.000 5.359 3.053
98.200 27.400 0.000 5.360 3.058
98.200 27.600 0.000 5.327 3.056
98.200 27.800 0.000 5.327 3.056
98.200 28.000 0.000 5.245 3.049
98.200 28.200 0.000 5.168 3.044
98.200 28.400 0.000 5.096 3.041
98.200 28.600 0.000 5.041 3.047
98.200 28.800 0.000 5.085 3.061
98.400 24.000 0.000 4.794 2.847
98.400 24.200 0.000 4.688 2.847
98.400 24.400 0.000 4.854 2.899
98.400 24.600 0.000 4.828 2.914
98.400 24.800 0.000 4.809 2.908
98.400 25.000 0.000 4.739 2.891
98.400 25.200 0.000 4.737 2.860
98.400 25.400 0.000 4.808 2.875
98.400 25.600 0.000 4.914 2.897
98.400 25.800 0.000 5.017 2.932
98.400 26.000 0.000 5.163 2.980
98.400 26.200 0.000 5.232 2.995
98.400 26.400 0.000 5.287 3.009
98.400 26.600 0.000 5.373 3.041
98.400 26.800 0.000 5.433 3.062
98.400 27.000 0.000 5.360 3.044
98.400 27.200 0.000 5.348 3.041
98.400 27.400 0.000 5.377 3.050
98.400 27.600 0.000 5.302 3.038
98.400 27.800 0.000 5.247 3.041
98.400 28.000 0.000 5.188 3.039
98.400 28.200 0.000 5.123 3.031
98.400 28.400 0.000 5.074 3.038
98.400 28.600 0.000 5.060 3.051
98.400 28.800 0.000 5.102 3.051
98.400 29.000 0.000 5.145 3.064
98.400 29.200 0.000 5.421 3.107
98.400 29.400 0.000 5.075 3.061
98.400 29.600 0.000 5.075 3.069
98.400 29.800 0.000 5.141 3.091
98.400 30.000 0.000 5.286 3.113
98.400 30.200 0.000 5.255 3.114
98.400 30.400 0.000 5.224 3.116
98.400 30.600 0.000 5.244 3.125
98.400 30.800 0.000 5.347 3.147
98.600 23.800 0.000 4.774 2.859
98.600 24.000 0.000 4.819 2.869
98.600 24.200 0.000 4.696 2.860
98.600 24.400 0.000 4.723 2.886
98.600 24.600 0.000 4.770 2.901
98.600 24.800 0.000 4.753 2.915
98.600 25.000 0.000 4.673 2.884
98.600 25.200 0.000 4.702 2.885
98.600 25.400 0.000 4.784 2.890
98.600 25.600 0.000 4.906 2.911
98.600 25.800 0.000 5.035 2.942
98.600 26.000 0.000 5.185 2.999
98.600 26.200 0.000 5.268 3.010
98.600 26.400 0.000 5.271 2.999
98.600 26.600 0.000 5.355 3.025
98.600 26.800 0.000 5.387 3.039
98.600 27.000 0.000 5.378 3.040
98.600 27.200 0.000 5.404 3.052
98.600 27.400 0.000 5.335 3.044
98.600 27.600 0.000 5.249 3.030
98.600 27.800 0.000 5.203 3.033
98.600 28.000 0.000 5.151 3.038
98.600 28.200 0.000 5.138 3.031
98.600 28.400 0.000 5.178 3.043
98.600 28.600 0.000 5.108 3.041
98.600 28.800 0.000 5.125 3.058
98.600 29.000 0.000 5.170 3.081
98.600 29.200 0.000 5.148 3.083
98.600 29.400 0.000 5.108 3.068
98.600 29.600 0.000 5.104 3.075
98.600 29.800 0.000 5.162 3.098
98.600 30.000 0.000 5.234 3.116
98.600 30.200 0.000 5.251 3.120
98.600 30.400 0.000 5.348 3.133
98.600 30.600 0.000 5.376 3.141
98.600 30.800 0.000 5.273 3.134
98.600 31.000 0.000 5.273 3.133
98.600 31.200 0.000 5.226 3.128
98.600 31.400 0.000 5.235 3.139
98.600 31.600 0.000 5.197 3.137
98.800 23.800 0.000 4.936 2.903
98.800 24.000 0.000 4.889 2.899
98.800 24.200 0.000 4.835 2.904
98.800 24.400 0.000 4.738 2.887
98.800 24.600 0.000 4.733 2.897
98.800 24.800 0.000 4.710 2.905
98.800 25.000 0.000 4.700 2.917
98.800 25.200 0.000 4.724 2.924
98.800 25.400 0.000 4.757 2.910
98.800 25.600 0.000 4.879 2.934
